ra,dec,koi_prad,koi_depth,koi_period,koi_teq,koi_steff,koi_slogg,koi_srad,koi_smass,mission
348.9490311,-10.8497391,,0.084149,41.965443,,5354.7,4.55,0.834,0.891,k2
207.2061241,-17.6098985,2.27,,5.213965,866.0,5171.0,4.55,0.8,0.83,k2
156.4054989,2.5138829,1.95,0.11,2.298,701.0,3855.0,4.683,0.583,0.599,k2
182.1662666,-8.7472172,6.86473931,,9.173866,,5035.0,3.8,2.162531,0.984438,k2
208.9014508,-6.1360833,1.88203097,,3.225423,,4681.0,4.69,0.667422,0.705681,k2
172.3353708,-1.4551364,0.96,,44.5609,,3841.0,4.906,0.371,0.414,k2
129.6821253,15.6806039,2.41,,50.818947,470.0,5368.0,4.51,0.85,0.88,k2
333.9249669,-16.5636911,42.0,,2.475527,,5962.0,4.4,1.06,,k2
172.3353708,-1.4551364,1.44,,10.05443,,3841.0,4.906,0.371,0.414,k2
169.3034598,-1.8778254,2.4,0.126,5.7348462,,4088.0,,0.62,,k2
202.8286729,-2.5793876,2.628,,9.668373,,5368.0,4.527,0.817,0.826,k2
207.3819041,-6.3241731,5.4,,4.681743,,,,0.25,,k2
191.363117,-6.576051,1.93420564,,2.860636,,6002.0,4.29,1.181244,1.1312,k2
242.7831769,-19.1751977,1.51,0.0204,1.057171,,,,1.004,,k2
289.066707,-17.9107147,9.26802368,,28.382071,,5425.0,4.66,0.872288,0.948628,k2
340.3037846,-14.4893256,1.53,,15.50116,,4006.0,4.828,0.46,0.523,k2
227.849371,-17.8754464,2.0,0.131,6.034,586.0,3810.0,4.7,0.54,0.58,k2
285.4760265,-26.9630173,1.12,,5.059,,4310.0,4.60909,0.67224,0.67,k2
242.5734559,-24.9906029,7.5,,42.3391,,5625.0,4.29,1.16,1.07,k2
167.4476762,2.3473081,2.21,0.152,4.58328,,,,0.545,,k2
201.6867614,-16.1053809,,0.2483,2.548,,3545.0,4.72355,0.515866,0.513515,k2
12.7736909,-1.1958844,1.37,0.0284,9.6897,,,,0.776,,k2
246.4912542,-26.0104676,,1.64,1.4408,,4154.0,,1.58859,,k2
240.6852933,-25.725743,,1.277,29.33873041,,3171.0,4.71253,0.528528,0.525532,k2
